date,donations,is_holiday,holiday_name,is_outlier,is_mco
2007-01-08,948,0,Non-Holiday,0,0
2007-01-09,1033,0,Non-Holiday,0,0
2007-01-10,1477,0,Non-Holiday,0,0
2007-01-11,1195,0,Non-Holiday,0,0
2007-01-12,379,0,Non-Holiday,0,0
2007-01-13,595,0,Non-Holiday,0,0
2007-01-14,597,0,Non-Holiday,0,0
2007-01-15,726,0,Non-Holiday,0,0
2007-01-16,1215,0,Non-Holiday,0,0
2007-01-17,940,0,Non-Holiday,0,0
2007-01-18,878,0,Non-Holiday,0,0
2007-01-19,520,0,Non-Holiday,0,0
2007-01-20,504,0,Non-Holiday,0,0
2007-01-21,928,0,Non-Holiday,0,0
2007-01-22,671,0,Non-Holiday,0,0
2007-01-23,1074,0,Non-Holiday,0,0
2007-01-24,1284,0,Non-Holiday,0,0
2007-01-25,1147,0,Non-Holiday,0,0
2007-01-26,984,0,Non-Holiday,0,0
2007-01-27,507,0,Non-Holiday,0,0
2007-01-28,914,0,Non-Holiday,0,0
2007-01-29,281,0,Non-Holiday,0,0
2007-01-30,1041,0,Non-Holiday,0,0
2007-01-31,1611,0,Non-Holiday,0,0
2007-02-01,2182,0,Non-Holiday,0,0
2007-02-02,268,0,Non-Holiday,0,0
2007-02-03,1173,0,Non-Holiday,0,0
2007-02-04,689,0,Non-Holiday,0,0
2007-02-05,471,0,Non-Holiday,0,0
2007-02-06,940,0,Non-Holiday,0,0
2007-02-07,1124,0,Non-Holiday,0,0
2007-02-08,915,0,Non-Holiday,0,0
2007-02-09,1226,0,Non-Holiday,0,0
2007-02-10,1969,0,Non-Holiday,0,0
2007-02-11,3215,0,Non-Holiday,1,0
2007-02-12,1016,0,Non-Holiday,0,0
2007-02-13,886,0,Non-Holiday,0,0
2007-02-14,1442,0,Non-Holiday,0,0
2007-02-15,1022,0,Non-Holiday,0,0
2007-02-16,693,0,Non-Holiday,0,0
2007-02-17,221,0,Non-Holiday,0,0
2007-02-18,167,1,chinese_new_year,0,0
2007-02-19,210,0,Non-Holiday,0,0
2007-02-20,192,0,Non-Holiday,0,0
2007-02-21,497,0,Non-Holiday,0,0
2007-02-22,456,0,Non-Holiday,0,0
